job_id,submit_time,wait_time,runtime,allocated_CPUs,avg_CPU_time_used,used_memory,requested_CPUs,requested_time,requested_memory,status,user_id,group_id,executable_number,queue_number,partition_number,preceding_job_number,think_time_from_preceding_job,CPU_time,start_time,end_time,num_running_jobs,running_job_requested_CPUs,running_job_requested_CPU_time,running_job_requested_wallclock_limit,running_job_nodes_assigned,running_job_mean_CPUs,running_job_mean_CPU_time,running_job_mean_wallclock_limit,elapsed_runtime_total,elapsed_runtime_mean,num_waiting_jobs,waiting_job_requested_CPUs,waiting_job_requested_CPU_time,waiting_job_requested_wallclock_limit,waiting_job_mean_CPUs,waiting_job_mean_CPU_time,waiting_job_mean_wallclock_limit,elapsed_waiting_time_total,elapsed_waiting_time_mean,should_wait_runtime_predicted,should_wait_runtime_actual,should_wait_runtime_predicted_5,should_wait_runtime_predicted_10,should_wait_runtime_predicted_15,should_wait_runtime_predicted_30,should_wait_runtime_predicted_60
0,18355729,3198,1511,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18358927,18360438,15,20288,490675200,354000,,1352.533333,32711680,23600,120272,8018.133333,23,233472,4155801600,741300,10150.95652,180687026.1,32230.43478,805553,35024.04348,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
1,18355903,8,392,256,-1,-1,32,1800,-1,-1,16,-1,-1,3,-1,-1,-1,57600,18355911,18356303,14,19776,505113600,357000,,1412.571429,36079542.86,25500,116927,8351.928571,23,233472,4133683200,730500,10150.95652,179725356.5,31760.86957,803459,34933,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2,18356436,9,158,256,-1,-1,1,1800,-1,-1,73,-1,-1,3,-1,-1,-1,1800,18356445,18356603,14,19776,505113600,357000,,1412.571429,36079542.86,25500,124389,8884.928571,23,233472,4133683200,730500,10150.95652,179725356.5,31760.86957,815718,35466,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,18356558,8,185,256,-1,-1,32,1800,-1,-1,16,-1,-1,3,-1,-1,-1,57600,18356566,18356751,15,19777,505115400,358800,,1318.466667,33674360,23920,126210,8414,23,233472,4133683200,730500,10150.95652,179725356.5,31760.86957,818524,35588,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4,18356809,4,130,256,-1,-1,32,1800,-1,-1,16,-1,-1,3,-1,-1,-1,57600,18356813,18356943,14,19776,505113600,357000,,1412.571429,36079542.86,25500,129611,9257.928571,23,233472,4133683200,730500,10150.95652,179725356.5,31760.86957,824297,35839,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
5,18356851,12,218,256,-1,-1,32,1800,-1,-1,16,-1,-1,3,-1,-1,-1,57600,18356863,18357081,15,19808,505171200,358800,,1320.533333,33678080,23920,130237,8682.466667,23,233472,4133683200,730500,10150.95652,179725356.5,31760.86957,825263,35881,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6,18357095,6,196,256,-1,-1,32,1800,-1,-1,16,-1,-1,3,-1,-1,-1,57600,18357101,18357297,13,19712,504883200,353400,,1516.307692,38837169.23,27184.61538,131050,10080.76923,23,233472,4133683200,730500,10150.95652,179725356.5,31760.86957,830875,36125,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,18357171,14,1848,256,-1,-1,64,1800,-1,-1,230,-1,-1,3,-1,-1,-1,115200,18357185,18359033,14,19744,504940800,355200,,1410.285714,36067200,25371.42857,132108,9436.285714,23,233472,4133683200,730500,10150.95652,179725356.5,31760.86957,832623,36201,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,18357337,5,1713,256,-1,-1,256,1800,-1,-1,167,-1,-1,3,-1,-1,-1,460800,18357342,18359055,12,17472,472588800,337800,,1456,39382400,28150,122309,10192.41667,22,231424,4111564800,719700,10519.27273,186889309.1,32713.63636,834812,37946,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,18357565,5,285,256,-1,-1,256,3600,-1,-1,73,-1,-1,3,-1,-1,-1,921600,18357570,18357855,13,17728,473049600,339600,,1363.692308,36388430.77,26123.07692,125268,9636,22,231424,4111564800,719700,10519.27273,186889309.1,32713.63636,839828,38174,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,18357587,5,1897,65536,-1,-1,65536,6000,-1,-1,93,-1,-1,2,-1,-1,-1,393216000,18357592,18359489,14,17984,473971200,343200,,1284.571429,33855085.71,24514.28571,125571,8969.357143,22,231424,4111564800,719700,10519.27273,186889309.1,32713.63636,840312,38196,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
11,18357677,10,1335,2048,-1,-1,512,5400,-1,-1,17,-1,-1,2,-1,-1,-1,2764800,18357687,18359022,15,83520,867187200,349200,,5568,57812480,23280,126916,8461.066667,22,231424,4111564800,719700,10519.27273,186889309.1,32713.63636,842292,38286,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
12,18357816,7,278,512,-1,-1,512,1800,-1,-1,73,-1,-1,3,-1,-1,-1,921600,18357823,18358101,16,84032,869952000,354600,,5252,54372000,22162.5,129130,8070.625,22,231424,4111564800,719700,10519.27273,186889309.1,32713.63636,845350,38425,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,18357917,7,370,256,-1,-1,32,3600,-1,-1,16,-1,-1,3,-1,-1,-1,115200,18357924,18358294,16,84288,869952000,352800,,5268,54372000,22050,130493,8155.8125,22,231424,4111564800,719700,10519.27273,186889309.1,32713.63636,847572,38526,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
14,18357996,6510,43280,2048,-1,-1,2048,43200,-1,-1,13,-1,-1,2,-1,-1,-1,88473600,18364506,18407786,17,84320,870067200,356400,,4960,51180423.53,20964.70588,131829,7754.647059,22,231424,4111564800,719700,10519.27273,186889309.1,32713.63636,849310,38605,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,18358298,11,241,256,-1,-1,256,3600,-1,-1,73,-1,-1,3,-1,-1,-1,921600,18358309,18358550,14,81728,837081600,335400,,5837.714286,59791542.86,23957.14286,125294,8949.571429,22,231424,4177920000,752100,10519.27273,189905454.5,34186.36364,853673,38803.31818,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
16,18358526,9,164,256,-1,-1,32,3600,-1,-1,16,-1,-1,3,-1,-1,-1,115200,18358535,18358699,15,81984,838003200,339000,,5465.6,55866880,22600,128703,8580.2,22,231424,4177920000,752100,10519.27273,189905454.5,34186.36364,858689,39031.31818,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
17,18358684,8,200,256,-1,-1,32,3600,-1,-1,16,-1,-1,3,-1,-1,-1,115200,18358692,18358892,15,81760,837196800,339000,,5450.666667,55813120,22600,130847,8723.133333,22,231424,4177920000,752100,10519.27273,189905454.5,34186.36364,862165,39189.31818,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
18,18358881,1587,1493,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18360468,18361961,15,81760,837196800,339000,,5450.666667,55813120,22600,132114,8807.6,21,229376,4155801600,741300,10922.66667,197895314.3,35300,863340,41111.42857,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
19,18358892,12,267,256,-1,-1,256,3600,-1,-1,73,-1,-1,3,-1,-1,-1,921600,18358904,18359171,14,81728,837081600,335400,,5837.714286,59791542.86,23957.14286,132079,9434.214286,22,231424,4177920000,752100,10519.27273,189905454.5,34186.36364,863582,39253.72727,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
20,18358986,11,1870,256,-1,-1,256,1800,-1,-1,167,-1,-1,3,-1,-1,-1,460800,18358997,18360867,15,83520,839846400,310200,,5568,55989760,20680,111940,7462.666667,21,229376,4155801600,741300,10922.66667,197895314.3,35300,862393,41066.33333,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,18359250,10,261,256,-1,-1,32,3600,-1,-1,16,-1,-1,3,-1,-1,-1,115200,18359260,18359521,12,82688,836044800,299400,,6890.666667,69670400,24950,110271,9189.25,21,229376,4155801600,741300,10922.66667,197895314.3,35300,867937,41330.33333,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
22,18359480,3,155,256,-1,-1,256,300,-1,-1,133,-1,-1,3,-1,-1,-1,76800,18359483,18359638,13,82720,836160000,303000,,6363.076923,64320000,23307.69231,113251,8711.615385,21,229376,4155801600,741300,10922.66667,197895314.3,35300,872767,41560.33333,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,18359717,8,779,1024,-1,-1,1024,3600,-1,-1,73,-1,-1,3,-1,-1,-1,3686400,18359725,18360504,12,49920,550963200,296700,,4160,45913600,24725,113947,9495.583333,20,196608,4047667200,738000,9830.4,202383360,36900,774704,38735.2,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
